InicioEntrena(3meses),FinEntrena,InicioPrueba,FinPrueba
2014-02-04,2014-04-30,2014-05-02,2014-07-31
2014-05-02,2014-07-31,2014-08-04,2014-10-31
2014-08-04,2014-10-31,2014-11-03,2015-01-30
2014-11-03,2015-01-30,2015-02-03,2015-04-30
2015-02-03,2015-04-30,2015-05-04,2015-07-31
2015-05-04,2015-07-31,2015-08-03,2015-10-30
2015-08-03,2015-10-30,2015-11-04,2016-01-29
2015-11-04,2016-01-29,2016-02-02,2016-04-28
2016-02-02,2016-04-28,2016-05-02,2016-07-29
2016-05-02,2016-07-29,2016-08-01,2016-10-31
2016-08-01,2016-10-31,2016-11-01,2017-01-31
2016-11-01,2017-01-31,2017-02-01,2017-04-28
2017-02-01,2017-04-28,2017-05-02,2017-07-31
2017-05-02,2017-07-31,2017-08-01,2017-10-31
2017-08-01,2017-10-31,2017-11-03,2018-01-31
2017-11-03,2018-01-31,2018-02-01,2018-04-05
